id,wbs,name,phase,work_package,duration,remaining,percent_complete,actual_start,actual_finish,constraint,constraint_date,notes,low_factor,high_factor,baseline_start,baseline_finish,current_start,current_finish,start_day,finish_day,network_float,total_float,late_start_day,late_finish_day,path_status,finish_variance,task_id,p50_date,p80_date,on_baseline_probability,risk_status
T001,0,Program authorization,Program,Authorization,0,0,100,2026-04-06,2026-04-06,ASAP,,Fictional planning estimate,0.85,1.25,2026-04-06,2026-04-06,2026-04-06,2026-04-06,0.0,0.0,0.0,-18.0,-18.0,-18.0,Complete,0,T001,2026-04-06,2026-04-06,1.0,Complete
T006,1.1.5,Airframe definition: Approval gate,Engineering,Airframe definition,0,0,100,2026-05-29,2026-05-29,ASAP,,Fictional planning estimate,0.85,1.25,2026-05-29,2026-05-29,2026-05-29,2026-05-29,39.0,39.0,0.0,0.0,39.0,39.0,Complete,0,T006,2026-05-29,2026-05-29,1.0,Complete
T011,1.2.5,Power and thermal: Approval gate,Engineering,Power and thermal,0,0,100,2026-05-21,2026-05-21,ASAP,,Fictional planning estimate,0.85,1.25,2026-05-21,2026-05-21,2026-05-21,2026-05-21,33.0,33.0,0.0,-18.0,15.0,15.0,Complete,0,T011,2026-05-21,2026-05-21,1.0,Complete
T016,1.3.5,Avionics architecture: Approval gate,Engineering,Avionics architecture,0,0,100,2026-07-20,2026-07-20,ASAP,,Fictional planning estimate,0.85,1.25,2026-07-20,2026-07-20,2026-07-20,2026-07-20,75.0,75.0,0.0,0.0,75.0,75.0,Complete,0,T016,2026-07-20,2026-07-20,1.0,Complete
T021,1.4.5,Structural substantiation: Approval gate,Engineering,Structural substantiation,0,0,100,2026-07-15,2026-07-15,ASAP,,Fictional planning estimate,0.85,1.25,2026-07-15,2026-07-15,2026-07-15,2026-07-15,72.0,72.0,0.0,0.0,72.0,72.0,Complete,0,T021,2026-07-15,2026-07-15,1.0,Complete
T026,1.5.5,Prototype integration: Approval gate,Engineering,Prototype integration,0,0,100,2026-09-03,2026-09-03,ASAP,,Fictional planning estimate,0.85,1.25,2026-09-03,2026-09-03,2026-09-03,2026-09-03,108.0,108.0,57.0,39.0,147.0,147.0,Complete,0,T026,2026-09-03,2026-09-03,1.0,Complete
T031,1.6.5,Design acceptance: Approval gate,Engineering,Design acceptance,0,0,100,2026-09-03,2026-09-03,ASAP,,Fictional planning estimate,0.85,1.25,2026-09-03,2026-09-03,2026-09-03,2026-09-03,108.0,108.0,57.0,39.0,147.0,147.0,Complete,0,T031,2026-09-03,2026-09-03,1.0,Complete
T036,2.1.5,Platform services: Release gate,Software,Platform services,0,0,100,2026-07-15,2026-07-15,ASAP,,Fictional planning estimate,0.85,1.25,2026-07-15,2026-07-15,2026-07-15,2026-07-15,72.0,72.0,0.0,0.0,72.0,72.0,Complete,0,T036,2026-07-15,2026-07-15,1.0,Complete
T041,2.2.5,Telemetry collection: Release gate,Software,Telemetry collection,0,0,100,2026-07-10,2026-07-10,ASAP,,Fictional planning estimate,0.85,1.25,2026-07-10,2026-07-10,2026-07-10,2026-07-10,69.0,69.0,0.0,-18.0,51.0,51.0,Complete,0,T041,2026-07-10,2026-07-10,1.0,Complete
T046,2.3.5,Health monitoring: Release gate,Software,Health monitoring,0,0,100,2026-09-08,2026-09-08,ASAP,,Fictional planning estimate,0.85,1.25,2026-09-08,2026-09-08,2026-09-08,2026-09-08,111.0,111.0,0.0,0.0,111.0,111.0,Complete,0,T046,2026-09-08,2026-09-08,1.0,Complete
T051,2.4.5,Operator interface: Release gate,Software,Operator interface,0,0,100,2026-08-26,2026-08-26,ASAP,,Fictional planning estimate,0.85,1.25,2026-08-26,2026-08-26,2026-08-26,2026-08-26,102.0,102.0,0.0,-18.0,84.0,84.0,Complete,0,T051,2026-08-26,2026-08-26,1.0,Complete
T056,2.5.5,Integration build: Release gate,Software,Integration build,0,0,0,,,ASAP,,Fictional planning estimate,0.85,1.25,2026-10-28,2026-10-28,2026-10-28,2026-10-28,147.0,147.0,18.0,0.0,147.0,147.0,Noncritical,0,T056,2026-10-29,2026-11-02,0.2538,At risk
T061,2.6.5,Release qualification: Release gate,Software,Release qualification,0,0,0,,,ASAP,,Fictional planning estimate,0.85,1.25,2026-10-20,2026-10-20,2026-11-23,2026-11-23,165.0,165.0,0.0,-18.0,147.0,147.0,Critical,24,T061,2026-11-25,2026-11-27,0.0,At risk
T066,3.1.5,Supplier qualification: Readiness gate,Logistics,Supplier qualification,0,0,100,2026-05-26,2026-05-26,ASAP,,Fictional planning estimate,0.85,1.25,2026-05-26,2026-05-26,2026-05-26,2026-05-26,36.0,36.0,0.0,0.0,36.0,36.0,Complete,0,T066,2026-05-26,2026-05-26,1.0,Complete
T071,3.2.5,Long lead procurement: Readiness gate,Logistics,Long lead procurement,0,0,100,2026-07-14,2026-07-14,ASAP,,Fictional planning estimate,0.85,1.25,2026-05-29,2026-05-29,2026-07-14,2026-07-14,71.0,71.0,0.0,0.0,71.0,71.0,Complete,32,T071,2026-07-14,2026-07-14,0.0,Complete
T076,3.3.5,Spares provisioning: Readiness gate,Logistics,Spares provisioning,0,0,100,2026-07-10,2026-07-10,ASAP,,Fictional planning estimate,0.85,1.25,2026-07-10,2026-07-10,2026-07-10,2026-07-10,69.0,69.0,0.0,0.0,69.0,69.0,Complete,0,T076,2026-07-10,2026-07-10,1.0,Complete
T081,3.4.5,Maintenance planning: Readiness gate,Logistics,Maintenance planning,0,0,100,2026-09-02,2026-09-02,ASAP,,Fictional planning estimate,0.85,1.25,2026-07-20,2026-07-20,2026-09-02,2026-09-02,107.0,107.0,0.0,0.0,107.0,107.0,Complete,32,T081,2026-09-02,2026-09-02,0.0,Complete
T086,3.5.5,Training development: Readiness gate,Logistics,Training development,0,0,100,2026-09-03,2026-09-03,ASAP,,Fictional planning estimate,0.85,1.25,2026-09-03,2026-09-03,2026-09-03,2026-09-03,108.0,108.0,165.0,147.0,255.0,255.0,Complete,0,T086,2026-09-03,2026-09-03,1.0,Complete
T091,3.6.5,Support readiness: Readiness gate,Logistics,Support readiness,0,0,0,,,ASAP,,Fictional planning estimate,0.85,1.25,2026-09-03,2026-09-03,2026-10-19,2026-10-19,140.0,140.0,133.0,115.0,255.0,255.0,Noncritical,32,T091,2026-10-20,2026-10-21,0.0,Missed
